Normal Patient Waiting Time,Normal Patient Server Time,Normal patientt service time
Reneged,Reneged,Reneged
23.08578263890024,39.20548360577112,16.119700966870894
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
20.39065794962869,27.586175387152025,7.195517437523356
25.393040957232017,38.8341144638764,13.441073506644404
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
0.0,3.813400158102013,3.8134001581020094
0.0,0,9.377279317902971
Next Day,Next Day
0,6.234012095099662,6.234012095099662
3.5512383212824767,10.51369126204175,6.962452940759273
7.4261005545059895,18.984978235745412,11.558877681239421
16.570144611624663,36.225392955596895,19.655248343972232
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
23.241437738515117,28.62049567236248,5.3790579338473625
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
19.401780500699417,33.596309109632664,14.194528608933247
22.334551824350534,38.85350420336505,16.518952379014507
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
25.050479939113416,38.67560438301521,13.62512444390179
Reneged,Reneged,Reneged
30.463386343341035,37.69673403751447,7.233347694173437
Reneged,Reneged,Reneged
32.97863901663513,42.7545381434181,9.775899126782978
31.35684762810979,44.401968750389585,13.045121122279799
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
28.887011374632067,30.93755338877868,2.050542014146613
Reneged,Reneged,Reneged
26.006479206395525,39.26158652254827,13.255107316152738
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
18.00198020691343,33.14624402258298,15.144263815669538
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
19.663448521593523,35.10506525725597,15.441616735662453
17.133385412966817,24.500705115712606,7.36731970274578
11.913123433503188,24.571539876563065,12.658416443059863
19.127537566514917,31.60245721146333,12.474919644948407
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
17.516018132179653,28.843993957151554,11.3279758249719
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
22.644804604994277,33.95226049477532,11.30745588978104
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
16.986784329599942,28.84161432962435,11.85483000002441
3.067683773554762,11.7206474219673,8.652963648412548
Reneged,Reneged,Reneged
6.180269888885022,15.556424124199168,9.376154235314154
13.009037541864785,20.93459357533601,7.92555603347125
Reneged,Reneged,Reneged
15.937598094375147,32.34556742818128,16.40796933380615
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
6.911352190048433,18.028862588441314,11.117510398392909
9.83188130356666,25.604855977455372,15.772974673888713
Reneged,Reneged,Reneged
0.0,16.15296776417273,16.152967764172733
13.711367424198954,21.659560559577756,7.9481931353788084
19.26702889048687,28.07407313148002,8.807044240993134
0.0,8.733503008435434,8.73350300843541
